zip,actualAmountPaid,numberOfProperties,numberOfFinalProperties,costSharePercentage,projectAmount,benefitCostRatio,netValueBenefits,propertyAction,damageCategory,structureType,cluster_label,count_property,pct_fs_risk_2020_5,pct_fs_risk_2050_5,pct_fs_risk_2020_100,pct_fs_risk_2050_100,pct_fs_risk_2020_500,pct_fs_risk_2050_500,total_population,pop_density,Log Flood Risk,Log Fire Risk,Quake Risk,Log Population Density
7073,118850.0,2,18,0.75,607087.0,1.4460000000000002,76356.0,Acquisition/Demolition,0 - 49%,Single Family,19,2464,0.0,0.6,8.3,12.2,23.1,23.8,9584,995.0589674186713,0.5171089132392156,1.0991869136000252,0.5008599499030225,1.302360897384384
7075,130864.0,2,20,0.75,456487.0,1.078,194000.0,Acquisition/Demolition,0 - 49%,Single Family,25,2742,0.0,0.0,4.0,4.3,6.4,6.4,8769,3053.3973702967705,2.8369431336674387,0.2414723118260907,0.5008599499030225,1.763400739854166
7076,518713.0,6,36,0.75,607087.0,1.4460000000000002,76356.0,Acquisition/Demolition,50 - 99%,Single Family,19,8360,0.3,0.3,11.5,14.8,19.1,19.7,24162,1035.7765591358666,0.2703848167765636,1.006465092390228,0.22016752291758232,1.3188512980137372
7077,202138.0,2,18,0.75,2227245.0,1.7760000000000002,115690.5,Elevation,0 - 49%,Single Family,19,1038,3.1,3.9,5.5,6.9,7.5,17.6,2627,657.3411139967616,0.322774725858667,0.5004696490056249,0.4570024799429074,1.131889101316262
7078,1.0,1,10,0.75,456487.0,1.078,194000.0,Elevation,0 - 49%,Single Family,3,4341,0.8,0.9,7.3,7.6,9.3,9.5,13372,800.8615670175357,0.9578710465575712,1.165227170854464,0.2397950353997314,1.2130884737089822
7080,270250.0,2,18,0.75,3847403.0,2.1060000000000003,155025.0,Elevation,0 - 49%,Single Family,3,8872,0.4,0.4,6.0,6.2,8.1,8.4,23956,1118.600040950586,1.5397255059280093,0.7660320222906802,0.18648726420341166,1.3504823801949384
7081,542219.0,6,46,0.75,3226169.1666666665,2.0050000000000003,159180.16666666666,Elevation,0 - 49%,Single Family,3,5378,0.2,0.3,9.4,9.8,12.4,13.3,17406,1303.1611277951406,0.9509920310437532,0.9892283984565317,0.24559020238479215,1.4132772515389502
7424,2761250.0,11,143,0.75,2798275.0,1.01,3964642.0,Acquisition/Demolition,50 - 99%,Single Family,19,9857,7.8,8.3,20.1,20.7,24.5,25.2,27030,1827.6059781579788,-1.7415866930017394,1.0210683457522356,0.4622252231722882,1.5523498918954768
7436,98000.0,1,1,0.75,131000.0,2.018,264313.0,Elevation,50 - 99%,Single Family,19,5065,5.7,6.1,12.3,12.6,14.6,14.7,12972,589.0480117722417,-0.7246101991875601,1.1454450890853285,0.4450939822933853,1.0867869763133051
7440,1203186.0,8,112,0.75,1777101.0,1.58,8106882.0,Acquisition/Demolition,0 - 49%,Single Family,19,1769,1.0,0.8,21.2,23.5,34.8,35.9,4469,1104.9240200938432,-1.129872301057557,0.940698378443164,0.4213202090126159,1.3454242175987017
7442,2185527.0,9,80,0.75,2656852.0,2.19,6561788.0,Acquisition/Demolition,0 - 49%,Single Family,19,3451,1.8,4.1,27.1,28.4,37.4,38.1,11029,1467.0166011370875,-1.866241663518863,1.0125103272345224,0.4228833175604138,1.461978220429385
7470,8014596.0,51,2376,0.75,5287741.411764706,1.7414705882352943,13807913.11764706,Acquisition/Demolition,50 - 99%,Single Family,19,18554,0.9,1.1,9.0,9.3,11.9,12.3,53954,876.2840243209827,0.5006370253499292,1.0776641519182917,0.4443825875636628,1.2500951031795955
7522,1447671.0,12,204,0.75,2893863.0,1.9549999999999994,4692000.0,Acquisition/Demolition,50 - 99%,Single Family,9,3320,18.3,19.4,28.5,29.4,30.8,31.5,20615,9686.839947465984,-2.6314669195249882,-2.2151409863576084,0.4619923074442966,2.238155136308283
7646,1198772.0,5,25,0.75,1612301.0,1.0,1611527.0,Acquisition/Demolition,50 - 99%,Single Family,3,4482,0.2,0.3,9.0,9.8,12.7,12.9,16545,2798.1633765485667,0.9720825179607676,1.132815356695537,0.5338133180839337,1.7275055681656408
7675,1440678.0,5,25,0.75,2068057.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,19,9541,2.5,2.5,9.0,9.4,12.2,12.5,27024,1081.876132709178,0.07206452791645226,1.3682910495610523,0.5331945199938505,1.3367564583618532
7703,394.0,1,132,0.75,3794340.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,6,12,8.3,16.7,41.7,41.7,50.0,83.3,132,58.583374127185394,-3.3499265355348498,0.6262466685768259,0.02462760725031011,0.13829018264393605
7717,30000.0,1,2,0.47,81629.0,2.444,199500.0,Elevation,0 - 49%,Single Family,9,968,6.1,9.0,12.2,18.6,16.4,54.3,1789,1625.1285386742438,-1.6011779130775834,-2.2151409863576084,0.6320585363268276,1.5040667775943064
7728,1544701.0,5,18,0.75,1033994.4,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,25,20451,0.3,0.3,2.5,2.6,3.3,3.5,55088,437.37514129857766,3.1218327271123822,1.076693272296062,0.4532052418780736,0.9643830427917379
7732,39375.0,2,4,0.75,52500.0,2.202,2307837.0,Elevation,50 - 99%,Single Family,6,2710,33.0,38.6,41.1,44.7,44.5,53.0,4868,491.6393039971043,-3.6477618717482976,1.1209666461820265,0.5772086032729331,1.0124669808638609
7834,1705418.0,6,54,0.75,1746469.0,1.2750000000000001,3429556.0,Acquisition/Demolition,50 - 99%,Single Family,19,7705,1.8,2.0,13.7,14.5,18.0,18.4,17826,559.345240364544,-0.4981579327086924,0.8831020264786285,0.1624325876405604,1.0655136205811429
8048,616486.0,3,12,0.75,640250.0,1.3210000000000002,846087.0,Elevation,50 - 99%,Single Family,3,4614,0.7,0.9,9.0,9.4,10.9,11.4,12195,357.82634885349006,0.6613508292020244,0.6526773162768252,0.06753469516649845,0.8818534086877008
8202,30000.0,1,1,0.33,90129.0,0.0,0.0,Elevation,0 - 49%,Single Family,6,12891,33.8,49.5,67.5,85.8,80.7,95.0,1527,92.91901149749545,-4.710222146753979,1.7429828333218518,-0.8053916503811569,0.3277194684579078
8835,2254785.0,12,168,0.75,3792298.0,1.1590000000000003,3889055.0,Acquisition/Demolition,0 - 49%,Single Family,19,11496,3.2,3.6,12.0,13.2,23.1,25.6,10230,1670.885530131309,-0.9134242985230884,0.2064395908555446,0.2539520043485975,1.5154844716762657
8846,653125.0,3,36,0.75,3220740.0,1.215,3716340.6666666665,Acquisition/Demolition,0 - 49%,Single Family,19,5031,6.3,6.8,15.4,16.2,21.6,22.4,13662,1512.461533914088,-1.3233636657040546,0.6558173453661098,0.3218385906746961,1.4745228614986168
8865,559479.0,3,9,0.75,770000.0,1.159,665713.0,Acquisition/Demolition,100%,Single Family,19,12860,6.0,6.1,12.5,12.8,14.3,14.6,28986,260.43922510156847,-0.7380552440087552,0.4277442952676404,-0.2594444050192521,0.7512594357142437
10271,100000.0,1,1,0.75,18087966.0,1.064,72529.0,Acquisition/Demolition,0 - 49%,2-4 Family,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.642288569286286,,0.2826958124617618,-2.483156547503107
10901,1336374.0,6,20,1.0,897765.3333333334,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,19,6140,2.1,2.1,9.9,10.3,12.4,12.8,23039,493.8743206789695,0.05450614243905051,1.2328292170850097,0.3135209970274247,1.0143318106817831
10992,2792036.0,14,163,0.9807692307692307,3474988.230769231,0.2873076923076923,834146.0,Acquisition/Demolition,50 - 99%,Single Family,19,2954,4.7,5.0,11.9,12.3,16.2,16.7,9360,325.8477358786869,-0.7087244134895387,1.1147238586410844,0.12391468910850435,0.8433668775807321
11701,1.0,1,5,0.75,1521940.0,2.9690000000000003,4167003.0,Elevation,0 - 49%,Single Family,24,7909,15.6,20.8,25.5,30.0,31.7,40.7,28363,2345.245080302091,-2.6941233116696854,0.433067961840328,0.7240338300627737,1.6548972038109535
11702,1.0,3,5,0.75,1521940.0,2.9690000000000003,4167003.0,Elevation,0 - 49%,Single Family,6,6070,28.0,36.7,40.2,43.3,47.7,55.6,14127,599.1035710847605,-3.625066004501797,1.0817463653023232,-0.035749366494046794,1.0937465093337897
11757,62251.0,2,6,0.75,802470.0,2.213,2130496.0,Elevation,0 - 49%,Single Family,12,15016,18.6,25.6,30.5,32.3,36.2,43.4,44368,2532.710659156673,-2.9766720477941906,0.2223804063495879,-0.035749366494046794,1.6865191253940794
11901,1789169.0,10,100,0.75,2291690.0,1.934,1094385.0,Acquisition/Demolition,0 - 49%,Vacant Land,19,11882,2.5,3.6,10.8,16.4,15.2,20.4,28387,198.71080389667773,-0.6289388345075666,0.9705516190868616,0.7835869713439129,0.6400645528399909
12010,448106.0,4,10,1.0,279040.83,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,24,13191,8.6,9.0,15.8,16.3,19.5,19.9,28152,83.1621437414053,-1.3797907298874488,0.8061509051014121,0.1655542527699047,0.2821517746343625
12043,213750.0,1,1,0.75,296985.0,1.881,564223.0,Acquisition/Demolition,0 - 49%,Non-residential - Private,24,3412,7.2,7.4,14.9,15.4,18.8,19.1,8129,50.81661627211566,-1.2105445506449557,0.29684513797212203,0.6283384154636271,0.07990989028051072
12066,49500.0,1,1,0.75,66000.0,6.496,1047630.0,Elevation,0 - 49%,Single Family,21,1343,8.6,8.9,13.8,14.4,18.2,18.5,1623,18.607007213190354,-1.2060639706083431,0.7930794859092004,0.07617016168941364,-0.3318450630895388
12069,265979.0,2,4,1.0,375745.41,1.6219999999999999,1004873.0,Acquisition/Demolition,50 - 99%,Single Family,6,115,18.3,20.0,74.8,79.1,90.4,94.8,203,137.78985079327586,-4.409956626825271,0.045282628951999436,0.6724172366149227,0.4895983260314522
12071,440660.0,3,12,1.0,524653.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,6,258,20.9,21.3,38.8,39.1,45.0,45.3,346,14.469573456211515,-3.2566390253337003,0.6116464887101645,-0.0039289741183944375,-0.4346357770298209
12076,210284.0,1,1,1.0,282725.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Manufactured Home,24,2392,10.5,10.7,14.5,14.7,16.4,16.7,1308,6.7336445680824415,-1.236882746469903,0.467000759751753,0.6245244660336338,-0.7459640936059285
12092,124800.0,1,2,1.0,341550.0,0.0,0.0,Acquisition/Demolition,100%,Single Family,24,712,11.1,11.2,20.1,20.6,26.8,28.7,752,19.416459482457892,-1.9855099432474184,0.5580431546841156,0.05516323379526375,-0.314425608356362
12116,80117.0,1,8,0.75,915792.0,0.0,0.0,Acquisition/Demolition,100%,Manufactured Home,24,1640,8.0,8.2,14.1,14.2,17.3,17.5,1712,17.162538381129934,-1.1278361174681777,0.22108770843458087,0.4272872363803363,-0.3648907890187325
12122,1459902.0,10,55,0.95,1329390.4,1.5302,583580.8,Acquisition/Demolition,50 - 99%,Single Family,24,3713,12.0,12.2,19.7,20.6,27.0,27.6,4170,14.896949388057433,-2.0016915222710074,0.6488262618092121,-0.0006285785931000245,-0.4227466899238273
12131,250807.0,5,9,0.95,239605.2,0.23279999999999998,11363.0,Acquisition/Demolition,50 - 99%,Single Family,24,209,14.8,15.8,18.2,20.6,26.8,26.8,91,4.9738686061329,-2.0618664962146496,0.5548617625490686,-0.04671201147846215,-0.8684079226597361
12157,226042.0,5,18,1.0,647198.8,0.0,0.0,Acquisition/Demolition,50 - 99%,Vacant Land,24,2196,10.8,11.0,19.2,19.6,29.4,30.6,4417,39.14214109195497,-2.0014761297530903,0.6797548338034006,0.6784901935188992,-0.02718851670258541
12305,400501.0,3,9,1.0,879569.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Non-residential - Private,12,1397,10.0,11.8,57.4,59.8,77.2,80.5,5519,1407.197384994314,-3.7744724667220986,-0.5091266563840801,0.7388092509794723,1.4448598444760918
12401,149314.0,1,4,1.0,762328.0,1.037,633754.0,Acquisition/Demolition,50 - 99%,Single Family,19,14476,4.3,4.6,13.4,13.8,17.1,17.6,35192,232.48623155587703,-0.8139923514491558,0.9626358143952384,0.6153640525748596,0.7045886444395155
12407,30030.0,1,1,1.0,41798.0,0.0,0.0,Acquisition of Vacant Land,100%,Vacant Land,1,231,6.9,6.9,13.4,13.4,14.3,14.3,165,18.93760495306745,-0.8391779359566136,,-0.11944348960000045,-0.3246412162593371
12410,577181.0,5,104,1.0,3859364.8,0.20739999999999997,126750.8,Acquisition/Demolition,50 - 99%,Vacant Land,24,602,26.2,26.7,33.1,33.2,35.7,36.4,370,3.4690443484129627,-3.0315112032846216,0.09810035672500073,0.5269031927091721,-1.0130788684516892
